Song,Year,Artist,Winner,trackID
"""Lyin' Eyes""",1976,Eagles,0,5lQKRR3MdJLtAwNBiT8Cq0
"""Mack the Knife""",1960,Bobby Darin,1,3E5ndyOfO6vFDEIE42HA8o
"""Mack the Knife""",1961,Ella Fitzgerald,0,5rv890VuY814e8WlT721az
"""Man in the Mirror""",1989,Michael Jackson,0,2u2udGmop1z67EPpr91km7
"""Mandy""",1976,Barry Manilow,0,6iXQrhhgBisdfvS34EMTZ3
"""Maniac""",1984,Michael Sembello,0,0QKfiqpEU4h9ycPSzIFwYe
"""Midnight at the Oasis""",1975,Maria Muldaur,0,5VBcEJ4mtXTmVEJtc7hx2g
"""MMMBop""",1998,Hanson,0,0lnxrQAd9ZxbhBBe7d8FO8
"""Monday, Monday""",1967,The Mamas and the Papas,0,3dXUhi35uNdJ1eYewv1XBK
"""Money for Nothing""",1986,Dire Straits,0,4yqtwO7MQIIXqoiRBPHAgR
"""Moon River""",1962,Henry Mancini,1,4BjVSvKAfQA4CncucM2Aa9
"""Mrs. Robinson""",1969,Simon & Garfunkel,1,6iKSKHgjyeDhD8iisd4PLL
"""Ms. Jackson""",2002,Outkast,0,0I3q5fE6wg7LIfHGngUTnV
"""Music""",2001,Madonna,0,2BcOZ4vOeu2qZowIHrvTYy
"""My Cup Runneth Over""",1968,Ed Ames,0,40BvPdq2rwYIoioUgjKHoK
"""My Heart Will Go On""",1999,Celine Dion,1,33LC84JgLvK2KuW43MfaNq
"""My Sweet Lord""",1972,George Harrison,0,0qdQUeKVyevrbKhAo0ibxS
"""Need You Now""",2011,Lady Antebellum,1,11EX5yhxr9Ihl3IN1asrfK
"""Nel Blu Dipinto Di Blu (Volare)""",1959,Domenico Modugno,1,5zyrEv4F3FaLECI8TOKpFM
"""Nice 'n' Easy""",1961,Frank Sinatra,0,6D9ZskVAhowskfJ9rsEVg7
"""No Scrubs""",2000,TLC,0,1KGi9sZVMeszgZOWivFpxs
"""Not Ready to Make Nice""",2007,Dixie Chicks,1,6LCEyZZHFF4ebF1Mike1s5
"""Nothin' on You""",2011,B.o.B featuring Bruno Mars,0,59dLtGBS26x7kc0rHbaPrq
"""Nothing Compares 2 U""",1991,Sinéad O'Connor,0,3nvuPQTw2zuFAVuLsC9IYQ
"""Ode to Billie Joe""",1968,Bobbie Gentry,0,4FdDorlbJTVHcH3djLbIfn
"""Old Town Road""",2020,Lil Nas X featuring Billy Ray Cyrus,0,6jmZlyf9DxcIoRrjw02YXm
"""One of Us""",1996,Joan Osborne,0,1xNmF1Uep5OGutizZSbKvd
"""One Sweet Day""",1996,Mariah Carey & Boyz II Men,0,7ySbfLwdCwl1EM0zNCJZ38
"""Paper Planes""",2009,M.I.A.,0,1ixbwbeBi5ufN4noUKmW5a
"""People""",1965,Barbra Streisand,0,0AfseROXCjDFXudJKAH0Zc
"""Please Read the Letter""",2009,Robert Plant & Alison Krauss,1,1m5N9YCZL4BXuSXdYmhRaj
"""Poker Face""",2010,Lady Gaga,0,5R8dQOPq8haW94K7mgERlO
"""Put Your Records On""",2007,Corinne Bailey Rae,0,2nGFzvICaeEWjIrBrL2RAx
"""Radioactive""",2014,Imagine Dragons,0,4G8gkOterJn0Ywt6uhqbhp
"""Ray of Light""",1999,Madonna,0,4Fpsa3pYc3gozrxHRRPvR6
"""Really Love""",2016,D'Angelo & The Vanguard,0,2RcanAJpudPNDkyIe9DzKS
"""Redbone""",2018,Childish Gambino,0,0wXuerDYiBnERgIpbb3JBR
"""Rehab""",2008,Amy Winehouse,1,1L5tZi0izXsi5Kk5OJf4W0
